Name,Archetype,Variant,Placement,Date,Format,Day
"Kelly, Evan",Runick,Live★Twin,1,4/30/2023,02/13/2023,Sunday
"Critch, Thomas",Tri-Brigade,Lyrilusc,2,4/30/2023,02/13/2023,Sunday
"Martino, Sam",Exosister,Pure,3,4/30/2023,02/13/2023,Sunday
"Freeman, Shane",Kashtira,Pure,4,4/30/2023,02/13/2023,Sunday
"Mesher, Brandon",Kashtira,Pure,1,5/3/2023,02/13/2023,Wednesday
"Davis, Kent",Mathmech,Pure,2,5/3/2023,02/13/2023,Wednesday
"Marshall, Nick",Traptrix,Pure,3,5/3/2023,02/13/2023,Wednesday
"Baker, River",Labrynth,Pure,4,5/3/2023,02/13/2023,Wednesday
"Bugden, Johnny",Spright,Melffy,1,5/7/2023,02/13/2023,Sunday
"Kelly, Evan",Runick,Live★Twin,2,5/7/2023,02/13/2023,Sunday
"Critch, Matthew",Mathmech,Pure,3,5/7/2023,02/13/2023,Sunday
"Lundrigan, Mitchell",Labrynth,Pure,4,5/7/2023,02/13/2023,Sunday
"Butt, Steve",Purrely,Pure,1,5/10/2023,02/13/2023,Wednesday
"Finn, Casey",Runick,Spright,2,5/10/2023,02/13/2023,Wednesday
"Kelly, Evan",Spright,Live★Twin,3,5/10/2023,02/13/2023,Wednesday
"Mesher, Brandon",Kashtira,Pure,4,5/10/2023,02/13/2023,Wednesday
"Kelly, Evan",Spright,Live★Twin,1,5/14/2023,02/13/2023,Sunday
"Critch, Matthew",Superheavy Samurai,Pure,2,5/14/2023,02/13/2023,Sunday
"Freeman, Shane",Scareclaw,Pure,3,5/14/2023,02/13/2023,Sunday
"Marshall, Nick",Purrely,Pure,4,5/14/2023,02/13/2023,Sunday
"Kelly, Evan",Spright,Live★Twin,1,05/17/2023,02/13/2023,Wednesday
"Sharpe, Chris",ABC,Therion,2,05/17/2023,02/13/2023,Wednesday
"Fudis, Ben",Superheavy Samurai,Pure,3,05/17/2023,02/13/2023,Wednesday
"Marshall, Nick",Purrely,Pure,4,05/17/2023,02/13/2023,Wednesday
"Critch, Matthew",Mathmech,Pure,1,5/21/2023,02/13/2023,Sunday
"Freeman, Shane",Kashtira,Pure,2,5/21/2023,02/13/2023,Sunday
"Whiteway, Nicholas",Kashtira,Pure,3,5/21/2023,02/13/2023,Sunday
"Parsley, Nathan",Superheavy Samurai,Pure,4,5/21/2023,02/13/2023,Sunday
"Critch, Matthew",Mathmech,Pure,1,5/24/2023,02/13/2023,Wednesday
"Freeman, Shane",Kashtira,Pure,2,5/24/2023,02/13/2023,Wednesday
"Whiteway, Nicholas",Kashtira,Pure,3,5/24/2023,02/13/2023,Wednesday
"Parsley, Nathan",Superheavy Samurai,Pure,4,5/24/2023,02/13/2023,Wednesday
"Freeman, Shane",Kashtira,Pure,1,6/7/2023,06/05/2023,Wednesday
"Mesher, Brandon",Kashtira,Pure,2,6/7/2023,06/05/2023,Wednesday
"Lundrigan, Terry",Spright,Live★Twin,3,6/7/2023,06/05/2023,Wednesday
"Hunt, Tyler",Floowandereeze,Pure,4,6/7/2023,06/05/2023,Wednesday
"Freeman, Shane",Scareclaw,Adventurer Token,1,6/14/2023,06/05/2023,Wednesday
"Combden, Blake",Branded,Despia,2,6/14/2023,06/05/2023,Wednesday
"Morrissey, Thomas",Blackwing,Pure,3,6/14/2023,06/05/2023,Wednesday
"Marshall, Nick",Dinosaur,Pure,4,6/14/2023,06/05/2023,Wednesday
"Freeman, Shane",Kashtira,Pure,1,6/18/2023,06/05/2023,Sunday
"Wells, Nick",Mikanko,Pure,2,6/18/2023,06/05/2023,Sunday
"Sharpe, Chris",Bystial,Pure,3,6/18/2023,06/05/2023,Sunday
"Hunt, Tyler",Vanquish Soul,Pure,4,6/18/2023,06/05/2023,Sunday
"Freeman, Shane",Scareclaw,Adventurer Token,1,6/25/2023,06/05/2023,Sunday
"Hunt, Tyler",Vanquish Soul,Pure,2,6/25/2023,06/05/2023,Sunday
"Rendell, Milo",Ghoti,Superheavy Samurai,3,6/25/2023,06/05/2023,Sunday
"Bugden, Johnny",Tearlaments,Pure,4,6/25/2023,06/05/2023,Sunday
"Li, Jamon",Rikka,Sunavalon,1,7/5/2023,06/05/2023,Wednesday
"Bugden, Johnny",Spright,Melffy,2,7/5/2023,06/05/2023,Wednesday
"Combden, Blake",Branded,Despia,3,7/5/2023,06/05/2023,Wednesday
"Freeman, Shane",Scareclaw,Adventurer Token,4,7/5/2023,06/05/2023,Wednesday
"Byrne, Matthew",Sky Striker,Pure,1,7/9/2023,06/05/2023,Sunday
"Marshall, Nick",Dinosaur,Pure,2,7/9/2023,06/05/2023,Sunday
"Freeman, Shane",Kashtira,Pure,3,7/9/2023,06/05/2023,Sunday
"Sharpe, Chris",Dragon Link,Pure,4,7/9/2023,06/05/2023,Sunday
"Combden, Blake",Branded,Despia,1,7/12/2023,06/05/2023,Wednesday
"Freeman, Shane",Scareclaw,Adventurer Token,2,7/12/2023,06/05/2023,Wednesday
"Kelly, Evan",Purrely,Pure,3,7/12/2023,06/05/2023,Wednesday
"Whiteway, Nicholas",Kashtira,Pure,4,7/12/2023,06/05/2023,Wednesday
"Kelly, Evan",Purrely,Pure,1,7/16/2023,06/05/2023,Sunday
"Freeman, Shane",Scareclaw,Adventurer Token,2,7/16/2023,06/05/2023,Sunday
"Sharpe, Chris",Dragon Link,Pure,3,7/16/2023,06/05/2023,Sunday
"Marshall, Nick",Dinosaur,Pure,4,7/16/2023,06/05/2023,Sunday
"Andrews, Dylan",Rikka,Sunavalon,1,7/19/2023,06/05/2023,Wednesday
"Whiteway, Nicholas",Kashtira,Pure,2,7/19/2023,06/05/2023,Wednesday
"Carew, Noah",Runick,Fur Hire,3,7/19/2023,06/05/2023,Wednesday
"Marshall, Nick",Dinosaur,Pure,4,7/19/2023,06/05/2023,Wednesday
"Kelly, Evan",Purrely,Pure,1,7/23/2023,06/05/2023,Sunday
"Butt, Steve",Rescue-Ace,Pure,2,7/23/2023,06/05/2023,Sunday
"Freeman, Shane",Scareclaw,Adventurer Token,3,7/23/2023,06/05/2023,Sunday
"Lundrigan, Mitchell",Gold Pride,Pure,4,7/23/2023,06/05/2023,Sunday
"Kelly, Evan",Purrely,Pure,1,7/30/2023,06/05/2023,Sunday
"Sharpe, Chris",Dragon Link,Pure,2,7/30/2023,06/05/2023,Sunday
"Rendell, Milo",Gold Pride,P.U.N.K.,3,7/30/2023,06/05/2023,Sunday
"Critch, Thomas",Mannadium,Pure,4,7/30/2023,06/05/2023,Sunday
"Marshall, Nick",Purrely,Pure,1,8/2/2023,06/05/2023,Wednesday
"Lundrigan, Terry",Infernoble,Pure,2,8/2/2023,06/05/2023,Wednesday
"Whiteway, Nicholas",Kashtira,Pure,3,8/2/2023,06/05/2023,Wednesday
"Butt, Kody",Evil Eye,Dogmatika,4,8/2/2023,06/05/2023,Wednesday
"Kelly, Evan",Spright,Melffy,1,8/6/2023,06/05/2023,Sunday
"Brown, CJ",Rescue-Ace,Pure,2,8/6/2023,06/05/2023,Sunday
"Freeman, Shane",Marincess,Pure,3,8/6/2023,06/05/2023,Sunday
"Sharpe, Chris",ABC,Pure,4,8/6/2023,06/05/2023,Sunday
"Freeman, Shane",Scareclaw,Kashtira,1,8/9/2023,06/05/2023,Wednesday
"Parsley, Nathan",Rescue-Ace,Pure,2,8/9/2023,06/05/2023,Wednesday
"Wells, Nick",Mikanko,Pure,3,8/9/2023,06/05/2023,Wednesday
"Marshall, Nick",Purrely,Pure,4,8/9/2023,06/05/2023,Wednesday
"Bugden, Johnny",Spright,Melffy,1,8/16/2023,06/05/2023,Wednesday
"Freeman, Shane",Marincess,Pure,2,8/16/2023,06/05/2023,Wednesday
"Marshall, Nick",Purrely,Pure,3,8/16/2023,06/05/2023,Wednesday
"Morrissey, Thomas",Synchron,Adventurer Token,4,8/16/2023,06/05/2023,Wednesday
"Freeman, Shane",Scareclaw,Superheavy Samurai,1,8/20/2023,06/05/2023,Sunday
"Lundrigan, Terry",Infernoble,Pure,2,8/20/2023,06/05/2023,Sunday
"Brown, CJ",Rescue-Ace,Pure,3,8/20/2023,06/05/2023,Sunday
"Wells, Nick",Traptrix,Pure,4,8/20/2023,06/05/2023,Sunday
"Hadfield, Andrew",Gold Pride,Pure,1,8/23/2023,06/05/2023,Wednesday
"Brown, CJ",Salamangreat,Pure,2,8/23/2023,06/05/2023,Wednesday
"Mesher, Brandon",Kashtira,Pure,3,8/23/2023,06/05/2023,Wednesday
"Marshall, Nick",Dinosaur,Pure,4,8/23/2023,06/05/2023,Wednesday
"Sharpe, Chris",Dragon Link,Bystial,1,8/27/2023,06/05/2023,Sunday
"Marshall, Nick",Dinosaur,Pure,2,8/27/2023,06/05/2023,Sunday
"Wells, Nick",Tri-Brigade,Lyrilusc,3,8/27/2023,06/05/2023,Sunday
"Noseworthy, Greg",Dogmatika,Branded,4,8/27/2023,06/05/2023,Sunday
"Sharpe, Chris",Dragon Link,Bystial,1,9/3/2023,06/05/2023,Sunday
"Marshall, Nick",Dinosaur,Pure,2,9/3/2023,06/05/2023,Sunday
"Critch, Matthew",Rescue-Ace,Pure,3,9/3/2023,06/05/2023,Sunday
"Rendell, Milo",Vanquish Soul,Pure,4,9/3/2023,06/05/2023,Sunday
"Sharpe, Chris",Dragon Link,Bystial,1,9/10,06/05/2023,Sunday
"Marshall, Nick",Dinosaur,Pure,2,9/10,06/05/2023,Sunday
"Brown, CJ",Tearlaments,Kashtira,3,9/10,06/05/2023,Sunday
"Wells, Nick",Nouvellez,Pure,4,9/10,06/05/2023,Sunday
"Kelly, Evan",Unchained,Pure,1,9/17,06/05/2023,Sunday
"Marshall, Nick",Dinosaur,Pure,2,9/17,06/05/2023,Sunday
"Lundrigan, Terry",Infernoble,Pure,3,9/17,06/05/2023,Sunday
"Critch, Matthew",Rescue-Ace,Pure,4,9/17,06/05/2023,Sunday
"Marshall, Nick",Dinosaur,Pure,1,9/20/2023,06/05/2023,Wednesday
"Wells, Nick",Mikanko,Pure,2,9/20/2023,06/05/2023,Wednesday
"Kelly, Evan",Unchained,Pure,3,9/20/2023,06/05/2023,Wednesday
"Sears, Ben",Superheavy Samurai,Pure,4,9/20/2023,06/05/2023,Wednesday
"Marshall, Nick",Dinosaur,Pure,1,9/27/2023,09/25/2023,Wednesday
"Sharpe, Chris",Dragon Link,Pure,2,9/27/2023,09/25/2023,Wednesday
"Sears, Ben",Ninja,Pure,3,9/27/2023,09/25/2023,Wednesday
"Lundrigan, Terry",Infernoble,Pure,4,9/27/2023,09/25/2023,Wednesday
"Critch, Matthew",Rescue-Ace,Vanquish Soul,1,10/1/2023,09/25/2023,Sunday
"Brown, CJ",Tearlaments,Mikanko,2,10/1/2023,09/25/2023,Sunday
"Marshall, Nick",Dinosaur,Pure,3,10/1/2023,09/25/2023,Sunday
"Manual, Kai",Resonator,Pure,4,10/1/2023,09/25/2023,Sunday
"Butt, Steve",Labrynth,Pure,1,10/5/2023,09/25/2023,Thursday
"Kelly, Evan",Unchained,Pure,2,10/5/2023,09/25/2023,Thursday
"Combden, Blake",Branded,Chimera,3,10/5/2023,09/25/2023,Thursday
"Sharpe, Chris",ABC,Adventurer Token,4,10/5/2023,09/25/2023,Thursday
"Critch, Matthew",Runick,Vanquish Soul,1,10/8,09/25/2023,Sunday
"Sharpe, Chris",Dragon Link,Pure,2,10/8,09/25/2023,Sunday
"Marshall, Nick",Traptrix,Pure,3,10/8,09/25/2023,Sunday
"Kelly, Evan",Unchained,Pure,4,10/8,09/25/2023,Sunday
"Bugden, Johnny",Unchained,Pure,1,10/11,09/25/2023,Wednesday
"Brown, CJ",Tearlaments,Kashtira,2,10/11,09/25/2023,Wednesday
"Gallant, Jake",Resonator,Bystial,3,10/11,09/25/2023,Wednesday
"Mesher, Brandon",Kashtira,Vanquish Soul,4,10/11,09/25/2023,Wednesday
"Andrews, Dylan",Rikka,Sunavalon,1,10/15/2023,09/25/2023,Sunday
"Combden, Blake",Branded,Chimera,2,10/15/2023,09/25/2023,Sunday
"Marshall, Nick",Traptrix,Pure,3,10/15/2023,09/25/2023,Sunday
"Sharpe, Chris",Dragon Link,Pure,4,10/15/2023,09/25/2023,Sunday
"Bugden, Johnny",Unchained,Pure,1,10/18/2023,09/25/2023,Wednesday
"Gallant, Jake",Resonator,Bystial,2,10/18/2023,09/25/2023,Wednesday
"Serenity, Taylor",Branded,Despia,3,10/18/2023,09/25/2023,Wednesday
"Wells, Nick",Traptrix,Pure,4,10/18/2023,09/25/2023,Wednesday
"Wells, Koady",Unchained,Pure,1,10/22/2023,09/25/2023,Sunday
"Andrews, Dylan",Rikka,Sunavalon,2,10/22/2023,09/25/2023,Sunday
"Freeman, Shane",Floowandereeze,Pure,3,10/22/2023,09/25/2023,Sunday
"Kelly, Evan",Unchained,Pure,4,10/22/2023,09/25/2023,Sunday
"Wells, Nick",Mikanko,Pure,1,10/25/2023,09/25/2023,Wednesday
"Brown, CJ",Rescue-Ace,Sinful-Spoil,2,10/25/2023,09/25/2023,Wednesday
"Marshall, Nick",Purrely,Pure,3,10/25/2023,09/25/2023,Wednesday
"Parsley, Nathan",Rescue-Ace,Pure,4,10/25/2023,09/25/2023,Wednesday
"Kelly, Evan",Purrely,Pure,1,11/1/2023,09/25/2023,Wednesday
"Brown, CJ",Rescue-Ace,Sinful-Spoil,2,11/1/2023,09/25/2023,Wednesday
"Wells, Koady",Unchained,Unchained,3,11/1/2023,09/25/2023,Wednesday
"King, Travis",Spellbook,Dogmatika,4,11/1/2023,09/25/2023,Wednesday
"Kelly, Evan",Purrely,Pure,1,11/5/2023,09/25/2023,Sunday
"Sharpe, Chris",ABC,Pure,2,11/5/2023,09/25/2023,Sunday
"Serenity, Taylor",Branded,Despia,3,11/5/2023,09/25/2023,Sunday
"Joseph, Daniel",Purrely,Pure,4,11/5/2023,09/25/2023,Sunday
"Bugden, Johnny",Unchained,Pure,1,11/8/2023,09/25/2023,Wednesday
"Brown, CJ",Rescue-Ace,Sinful-Spoil,2,11/8/2023,09/25/2023,Wednesday
"Combden, Blake",Tearlaments,Horus,3,11/8/2023,09/25/2023,Wednesday
"Kelly, Evan",Unchained,Unchained,4,11/8/2023,09/25/2023,Wednesday
"Kelly, Evan",Purrely,Pure,1,11/12/2023,09/25/2023,Sunday
"Sharpe, Chris",Dragon Link,Pure,2,11/12/2023,09/25/2023,Sunday
"Brown, CJ",Rescue-Ace,Sinful-Spoil,3,11/12/2023,09/25/2023,Sunday
"Combden, Blake",Tearlaments,Horus,4,11/12/2023,09/25/2023,Sunday
"Butt, Steve",Labrynth,Unchained,1,11/22/2023,09/25/2023,Wednesday
"Brown, CJ",Mannadium,Pure,2,11/22/2023,09/25/2023,Wednesday
"Whiteway, Nicholas",Dark World,Pure,3,11/22/2023,09/25/2023,Wednesday
"Baker, River",Rescue-Ace,Sinful-Spoil,4,11/22/2023,09/25/2023,Wednesday
"Josh, Ryan",Resonator,Pure,1,11/29/2023,09/25/2023,Wednesday
"Wells, Nick",Ghoti,Pure,2,11/29/2023,09/25/2023,Wednesday
"Noseworthy, Greg",Branded,Pure,3,11/29/2023,09/25/2023,Wednesday
"Sharpe, Chris",ABC,Pure,4,11/29/2023,09/25/2023,Wednesday
"Hunt, Tyler",Vanquish Soul,Pure,1,12/3/2023,09/25/2023,Sunday
"Lundrigan, Terry",Therion,Adventurer Token,2,12/3/2023,09/25/2023,Sunday
"Rendell, Milo",Vanquish Soul,Pure,3,12/3/2023,09/25/2023,Sunday
"Sharpe, Chris",ABC,Pure,4,12/3/2023,09/25/2023,Sunday
"Sharpe, Chris",ABC,Pure,1,12/6/2023,09/25/2023,Wednesday
"Marshall, Nick",Traptrix,Pure,2,12/6/2023,09/25/2023,Wednesday
"Gallant, Jake",Labrynth,Pure,3,12/6/2023,09/25/2023,Wednesday
"Wells, Nick",Ghoti,Pure,4,12/6/2023,09/25/2023,Wednesday
"Kelly, Evan",Purrely,Pure,1,12/10/2023,09/25/2023,Sunday
"Rendell, Milo",Fire King,Snake-Eye,2,12/10/2023,09/25/2023,Sunday
"Lake, Adam",Branded,Bystial,3,12/10/2023,09/25/2023,Sunday
"Fifield, Jacob",Blue-Eyes,Pure,4,12/10/2023,09/25/2023,Sunday
"Combden, Blake",Horus,Bystial,1,12/13/2023,09/25/2023,Wednesday
"Wells, Nick",Fire King,Tri-Brigade,2,12/13/2023,09/25/2023,Wednesday
"Kelly, Evan",Runick,Purrely,3,12/13/2023,09/25/2023,Wednesday
"Josh, Ryan",Fire King,Pure,4,12/13/2023,09/25/2023,Wednesday
"Wells, Koady",Unchained,Pure,1,12/20/2023,09/25/2023,Wednesday
"Baker, River",Rescue-Ace,Sinful-Spoil,2,12/20/2023,09/25/2023,Wednesday
"Wells, Nick",Fire King,Tri-Brigade,3,12/20/2023,09/25/2023,Wednesday
"Critch, Matthew",Vanquish Soul,Pure,4,12/20/2023,09/25/2023,Wednesday
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
